text,label_raw,stars,char_length,word_length
"I have ordered both carryout and delivery from this Pizza Hut location and will continue to do so because customer service is excellent and they always have some pretty good deals going on. \n\nThe employees are very friendly, in-person and over the phone. They don't mind going over all specials that they have and they always apologize if the pick up line gets long. Also, the food is always hot, fresh, and ready or delivered on time. It may not be the best pizza out there, but I think its still pretty good for the price.\n\nHere are some of the deals they have right now:\n-Mondays: 2 medium pizzas (up to 3 toppings) for $6 each\n-Tuesdays: $10 pastas\n-Wednesdays: wings are $.50 each\n-Carryout special: $10 large pizzas (up to 3 toppings). I always take advantage of this one!\n(and no, I do not work there, haha!)\n\nThey are also located near Yogoyum, my favorite frozen yogurt place!",4,5,896,153
"The place is always full of people so I was really looking forward to trying out their ramen.  Ramen-Ya is also referred as Kurobuta Izakaya.  Kurobuta is berkshire pork, the very best.  It's a pork equivalent of Kobe beef.  We went for an early lunch on a Saturday.  Unfortunately the ramen simply falls short, because of their broth.  Ramen broths are tricky to make.  It needs to be fresh, rich and flavorful.  Their broth is fresh, but lacks the other two essentials.  Maybe that why it's called Ramen-Ya when I search it in Yelp.  :-)",2,3,539,95
"This place, is my little piece of heaven on earth. I am always looking for an excuse to go. I LOVE their macaroons. The salted Carmel is my very favorite. These macaroons are almost identical to the ones in Paris. \n\nI also love their lavender lemonade and other drink concoction. They have an amazing selection of other wonderful pastries. Also their soups and sandwiches are very good too.",4,5,392,68
"CAPRIOTTI'S!!! Y U NO get my order right??\n\nI came to this location for the first time today and ordered four sandwiches. Two of the four came out right.\n\nMy sister is boring and she likes her sandwiches with almost nothing on them. I am the opposite. I like my sandwiches Primanti's-style--filled to the brim and only edible if you kind of tilt your head sideways and gnaw at them. So, you can imagine my sadness when I got home and my sandwich turned out to be the vegetarian version of my sister's (turkey, cheese, lettuce.) It was a mere ghost of what a sandwich should be. I even asked for pickles and of course, there were no pickles. :(\n\nThe other issue is that I asked for wheat on my sister's sandwich. Maybe there was a communication problem, since the person who took my order handed it off to someone else.\n\nOn the plus side, my sandwich was good (at least the \""meat\"" was correct!) and the employees could not have been nicer. Capriotti's sandwiches are so good that I'll keep coming back despite service issues (until I find a replacement.)",1,2,1063,188
Wow! This place was pretty disappointing! At 7pm the food all seemed dried out and like it had been sitting there for hours! When they did bring out fresh it was only maybe two spoonfuls of the item. So my fried and I could never both try the fresh serving unless we rushed when we saw the lady carrying out the tray which didn't work well with other customers wanting to try the fresh serving as well!,0,1,402,77
"Not going back. Went in on a Sunday at 3pm to get take out. Waited what seemed like a long \""10 minutes\"" for nobody to be in there at the time. Drove 5 minutes home. Turkey burger looked like a McDonalds chicken nugget and had wilted lettuce. Tasted ok but nothing great. Got the mixed fries. They were nearly cold and getting mushy. The regular fries tasted like cardboard. I even spit one out that was just pure cold grease. Sweet potato fries were too thin. I would guess they made the fries first and then the burgers took awhile longer so we ended up with cold fries when we got home. Not sure this place will last if they don't improve!",1,2,643,122
"Bad service\nPubic hair and make up on \""clean\"" towel\nDirty room\n3 out of 3 restaurants on property\nDelivered sub-standard food quality and service.\nInsect in bed (see photo)\nWill never return.\nEnough said.",0,1,213,28
"The location is convenient considering I live in North Las Vegas. The drinks were good but they're overpriced. The amount you pay for a large is the same as the biggest boba drink at No.1 Boba. Except the size of a large at Tea Time is the same as a medium at No.1 Boba. And the regular sized boba should be called small, not regular. They were good but not worth it to me.",1,2,373,74
"Heard a lot about Studio B. Supposedly it's Las Vegas best buffet in 2010.\n\nInterior: Large place, lots of places to eat yummy food. No big lines at the food counters.\n\nService: I waited 4 hours from 4:45 to 8:45. I was not happy. For $30, the food is great...but not worth the 4 hour wait..\n\nFood: Quality stuff, prime rib, oysters, crab legs, all sorts of desserts and foods :)\n\nOverall: I'm sure I wouldve enjoyed it a lot more if I wasnt sleepy, starving and tired. 3.5 stars.",2,3,488,86
"Wait wait wait... this place is still open? No, seriously? Um. I'm confused. No, I mean like, in business? Operating? A manager? Employees? Hours of operation? Transact monies? Uhhhhh. You sure? Because when you define \""Air\"" as a smoker's patio and \""Earth\"" as weird alien shit on the walls and \""Fire\"" as the burning of your ear drums and \""Water\"" as a place to buy really expensive drinks that dehydrate you, I just can't really comprehend how our $30k millionaire ballers can afford to keep this place going, even in an economic environment that protects only their class. But that's why I'm a $20k impoverished sycophantic parasite on our society. No business sense. \n\nTwo stars for the money they put into this place in the first place. And the elevator to the private VIP bullshit area. Classy. Retarded classiness.",1,2,828,139
"I love the food at Green. I've tried many other vegan restaurants in the valley and Green is by far my favorite. Please consider opening a Chandler location, I would be able to go way more often.",4,5,195,37
"The food here is typical mexican food and good, but nothing I would rave about. Nothing to complain about either. I really come here for the great location and unique building. My daughter loves sitting by the fish tank and I always seem to find a new place to get a great picture of her every time I visit. There really are quite a few very good spots for taking pictures. Service is good and this place reminds me of what Mexican places were like when I was a kid which is not a bad thing:) I'm looking forward to sitting at the little bar or in the open air lounge and having a margarita one day when I make the trip kid free.",3,4,629,124
"NOT much of breakfast eater but my cousin from Sac in town and decided too meet up with my brother and my nieces at their favorite breakfast joint. I have been too few times just never got around too reviewing it. One thing really like about The Cracked Egg location so close too the house plus if this one busy then go five min down the road too there free standing restaurant. (I never been). It kind of small place so depending when you go there chance wait. We all meet up on weekend and good thing went early because by 10am the place was insane and line out the door. Go early or late breakfast/lunch crowds not your thing. \n\nThe Coffee Cake the bomb. I went with chili cheese omelette. It was really good! It had right portion of chili and cheese. The seasoned potatoes without doubt MY FAVORITE things on the menu. Sure you seasoned potatoes at any breakfast joint but the thing stands out for me is the seasoning mix they put on them. I have no idea it is. All I know is potatoes are addicting could eat plate of potatoes be in complete bliss. I put some ketchup on them but really tasty eat them by themselves. They nice HOT. Crispy on the outside. I also had the sandwiches on the menu are solid and makes for great breakfast/lunch. One thing after spoiling myself with Red Velvet Pancakes at BabyStack wish they had some too. It one type of pancakes they don;t have but have other yummy options comes too pancakes. Everything on the menu is solid had few things on the menu and loved it!\n\nThe service had always been great! Even when its super busy the service always been great, staff if very friendly, and great way too start the day with meal at The Cracked Egg. =))",3,4,1685,314
Not good!\nService was wanna-be professional and food was average at most and WAY overpriced (had lamb for $100!).,0,1,114,18
"I'm surprised to see so many 5 star reviews, I had a very bad experience here!\n\nI went here the other day based off of the reviews on yelp... What a big mistake!!!\n\nI simply went to get my eyebrows done the lady was very friendly and asked if I had my eyebrows threaded before which I have. So she's doing my brows and she asks if I'm ok because I guess I looked like I was in a lot of pain.. Which I was in alot of pain I've never had it hurt that bad when getting my brows threaded it felt like my skin was being pulled off. So anyways she finishes and hands me the mirror they looked ok she had missed a few spots and my skin was red and irritated but I figured it would heal. \n\nSo the next day I wake up and looked in the mirror and I see my skin was ripped in several spots I had bumps and blood stains from her pulling at my skin, on top of that I noticed she had missed more then just a few spots of hair there was tons of hairs left! \n\nI will not be returning here it was a waste of money and I had to get my eyebrows done 5 days after she had did them. Not to mention she damaged my skin!",0,1,1105,230
"If there was an option to review without any stars this would be a great case. I was very upset and chose to not tell her how I felt. I went in for a brow wax and came out with thin uneven eyebrows. I was very specific that I just wanted a clean up and did not want the actual eye brow messed with. When I looked at them I noticed half my eyebrow was missing. The woman tried to tell me that I was not looking at them correctly. How can you employ or authorize someone to do a service they cannot perform? I will never ever walk into Regis again.  Biggest mistake ever.\n\n**side note: i was washing my face and my left eyelid burned, i looked in the mirror and saw that either i have a burn or my skin was lifted. Seriously? Shitty eyebrows and now skin missing??",0,1,764,151
Carne Asada tacos are to die for. Had four at $1.10/each and was pleasantly full to the gills. Will return next time in the area.,4,5,129,25
Food and service are excellent. Only thing keeping it from 5 stars is price...expect to spend a couple more dollars per dish than other sports bar menus.,3,4,153,27
"A gift shop with a difference.\n\nThe clue to the first difference is one word on the outside: weaponry.  To any man, this is going to spark interest.  They have a small range of different swords of varying sizes and types.  According to the DO NOT TOUCH signs, they were battle-ready and sharp (this just makes me want to touch them all the more, but I did manage to resist the temptation).\n\nThe quality of the items in this shop is a bit higher than in many of the others in the city, and there was also  a small range of teddy bears, which is something that you don't often see.  I was also welcomed into the shop by the owner, greeting me with a smile and a hello.  This is so rarely seen in shops these days, and it's good to see that they're interested in everyone that comes through the doors.\n\nOn the whole, I would recommend a visit to Neanie Scott if you're looking for a gift or trinket to give to a friend or relative.",2,3,934,176
"I finally made it here! I have been Yelp Stalking it for what seems like forever, but it is rare I can journey across town during the week. I arrived around 12:30 and the place was hoppin! Oliver was very nice and I ordered the Blue and Brie..Chicken, Apples,  Walnuts,Blue and Brie Cheeses, and a bit of mustard..it was SO yum! I told him I worked at UNLV and he let me know he graduated in 2001! Very cool to have a local rebel running a great place! I got an Iced Tea which was fresh brewed and very delicious. I hope to try some of the sweets next time..I am trying to be good, but this place is worth a cheat day for sure!!",4,5,628,125
"MONTE CARLO, an awesome name brand.We asked for a non-smoking room and we were sent into a SMOKING ROOM.I noticed that the carpet floor near the window had a minor crack.The room was NOT clean.The hotel was not nice because it is old.I will never stay in this hotel again and this hotel made me wonder why MGM Mirage made horrible hotels and never keep the old ones clean for there customers.Also,MGM's customer service need improvements.Stay at the Monte Carlo if you want a bad stay and want a feel of BARFED OUT EUROPE.This hotel is Sub-standard and below average.\n\n\nMonte Carlo,a great name,and a great disappointment.",1,2,625,106
"Jack Clubman got his first scheduled (now, read that word the Brit way) maintenance today at Mini of Tempe.\n\nWe want to thank Steven Pham, our Service Consultant, and all of the crew at MOT for providing us with a great experience. Everyone was very welcoming and attentive to our needs and the facility is beautiful.\n\nJack was serviced nicely and even got a wash and vacuuming.\n\nIf you are in the greater Phoenix area, we highly recommend Mini of Tempe.\n\nwww.minioftempe.com",4,5,483,78
"I've heard alot about Round Table from Californians.  At first I was shocked that they charged $20 for a large pizza which would feed about 3 people.  For less, you can go to Dom Demarco's or Grimaldi's.\n\nBut I have to say that the Chicken and Garlic was quite tasty.  The creamy garlic sauce is really addicting.  I think it would be awesome if you get a side on the side to dip your pizza in - kind of like Papa John's.\n\nWhat I like is that the crust on the bottom is crisp and the body of the crust has the nice chewy texture.  The crust experience was quite unique for a chain.  The leftovers were even better the next day.   My method is to nuke it for 30-40 seconds and finish it off on a cast iron.  It provides the same experience you have when eating there.\n\nI'll be back for their Mon-Sat lunch buffet.  Without the use of a groupon, I don't know if i would go back outside of the buffet especially when I believe you can get much better value and experience at Grimaldi's or Dom Demarco's.\n\nBut the pizza here was still really good.  3.5 stars.",2,3,1063,198
"I was surprised to find that had a TON of brand new irrigation supplies. As a gardener, I am always fiddling with the irrigation, and am in constant need of emitters, hose, and connectors to support my filthy habit. They have it all (at least when I went), and at a fraction of what the hardware store charges.",2,3,310,58
This time I went online to the web sight and scheduled an appointment. I made it for 8:30am and i got called back at 8:35am. Not to bad!!\nThey were very busy. If u did not have an appointment they had an hour wait!!\nMake an appointment for any blood work,2,3,256,49
Most overpriced mediocre Asian food ever.  Everything tasted like something you could get at a fast food Chinese restaurant.  It's ridiculous that they charge $18 for a plate of vegetables and $28 for some rice porridge.  I don't understand why people even come here!  \n\nI would never choose to eat here if I was actually paying for it.,1,2,338,58
"This review is only for the club.\nThis new club has quite the line up of DJ's, and the weekend we were there Tiesto was spinning on Sat night! Being that he is among the top DJ's on the planet, we figured it would be packed so, of course, I turn to my fellow Yelpsters for advice...\nLet me confirm and clear up a few things now that I have been there. \nFirst the nerve-wrecking stairs, this is a 5 story spot, but the club is only 3 stories. You enter on the main floor, so if you are there for EDM, stay there and no stairs. The main floor is the middle, so if you are there for hip-hop go downstairs, and now I can see a problem.\nSecond the non-VIP seating policy, there actually are places to sit for non-VIP. If you go downstairs, damn stairs!, you have two directions at the bottom, straight in the main room or do a 180 and walk down the hall. The back room is open seating, at least until the promoters sell the seat as VIP, but to us it seamed like we had a place to sit all night. Plus those bartenders are way less busy and hoooook it up!\nThird the nice staff, this one is true! These were without a doubt the nicest bouncers and bartenders we had ever dealt with, and we have been to clubs from SF to Ibiza. It was a much better feel than the normal steroid-staredown that you get from most clubs in Vegas. \nFourth the dress code, this is normal for Vegas, smart casual. A previous post mentions flip-flops, I did not see any, but let's face it a dress code is 99.9% for the guys so maybe she did sneak in with them on...\nFifth the music in the hip hop room, the posts about the gangster rap are probably from people that did not stay down there long enough, we really felt there was a good mix of many genres of hip hop, but we were there for Tiesto!\nLast the dance floor, prior posts are accurate, there is little to no dance floor for a club that holds 5000 people. The main dance floors get so packed that it becomes more of a collective fist pump rather than dancing. We found that upstairs was the better place to dance. There is an open area up there, and while not technically a dance floor, we sure turned it into one! Oh and you can see the DJ booth from up there, if you look through the VIP's lining the rail. \nThe lack of dance floor space is the reason I knocked a star off. All in all this is a great club, and with DJ's like Tiesto how can you go wrong.",3,4,2389,466
"Love this place! Now, to start, I am NOT a Crepe aficionado but that does not stop me from loving good food. I went here last night for the first time with a friend. We started off with some wine,which they have a good but small selection as they do the beer list. When we sat down we tried the Cellar Plate which contained 2 different gourmet meats and cheeses with crusty bread. It was OK but a little skimpy for me. On to dinner, I really wanted to try the fish and chips but hesitated due to the bad reviews it's received on Yelp so instead I  opted for  the Sausage and Peppers Crepe and my friend ordered the Spinach/Mushroom Crepe. I was blown away with the amount of food that they served. My Crepe covered the entire plate and my friends' consisted of 2 large Crepes traditionally rolled. I will say that the sides that we ordered were not needed due to the generous portion of our entree. The Sausage was cooked perfectly and had just the right amount of flavor. I was not expecting that as most places I find just don't have good sausage. My friend loved her meal as well. \n\nThe seating was very limited and very close together which gave it a cozy feel but you can definitely hear everyone elses coversation. I like smaller restaurants like this because they are more representative of the locals. The staff was very friendly too. Great place for a first date or just a romantic date with your favorite person. Needless to say, I will be returning here in the near future. Only this time I will try those Pesto Brie fries that everyone is talking about!",4,5,1567,290
This place was clean and the service was top notch! It is a cross between a Dairy Queen and a Carl's Jr. If you are hungry - get your hamburger with 2 patties - they are kinda slim. The fries were great and they have a ton of frozen custard desserts.,2,3,250,51
"We came here as an alternative to Pho Kim Long, which is always frequented when in Vegas.  The only things better about this place than PKL are that it's cheaper and they have really generous portions.  \n\nThe food was meh.  Their nem nuong rolls are huge, but that's cause they stuff it with lots of vermicelli noodle.  The nem nuong itself resembles and taste like sausage.... no pun intended. And theres like 2 pieces of it..  It wasn't terrible - just not very nem nuongish..\n\nThe rice plate that I had (bbq pork chop) was alright.  I thought it was a bit too salty.  And i asked for an egg over easy, but they fried the hell out of it.\n\nI didn't expect awesome service  - I never do when I go to a Vietnamese restaurant. But on top of mediocre food, they have terrible service.  Therefore, the verdict of this review is 2 stars.",1,2,838,153
"I am still a big fan of Miko's.  The only advice I would give is that do not go there when they are packed and you are hungry.  We went there on a fairly busy night.  All the tables were taken so we waited about 15 minutes for a table to open up.  When we finally got seated, it took a while to get our drink order and then quite a while until we got our items ordered.  After placing our order, it took about 30 minutes to be served.  They were not complicated items.  I ordered their Vegetarian Yakisoba and my partner ordered a vegetarian sushi roll.  My dish came out first and the veggie roll took another 10 minutes to get there.  I don't know what the hold up was considering most people were not having sushi and we placed the order 30 minutes ago.  My partner was a bit disconcerted because  we loved their veggie rolls before.  This was not up to par from our previous experience.  My yakisoba was awesome.  As I said we are still a big fan of Miko's.  They just need to streamline their service when they are packed.",3,4,1027,196
"We brought home a puppy from the shelter 8 days ago with a respiratory infection. She was on medication for a few days, and then in less than two days' time, she got very worse. \n\nWe rushed Milly to this location at 3AM last night. She was in a lot of pain and had the hardest time breathing. The staff members were friendly for the most part and pretty knowledgeable. They wanted to hospitalize Milly for a few days to run some tests on anemia, tick diseases, and other various long-term potential health issues. We were quoted that the treatment plan may range from about $4-5,000. We don't have that kind of money. We decided that these tests could wait until the morning - we just wanted to get her breathing normal, and if she had anemia or something long-term that our day vet could help us for a fraction of the price in the morning. We accepted some antibiotics and a fluid injection, because a few hundred dollars was the most we could spend at the time. They kindly gave us some recommendations for at-home remedies as well.\n\nMilly passed away later in the night. We took care of her most of the night to the best of our abilities. Even if we had known that she would pass away so soon, there was no way that we could have afforded to have her hospitalized. I just wish that we could have done something to help her immediately, instead of spending thousands on the unknown.",1,2,1388,255
"Yalla is taking steps in the right direction and making improvements. Fantastic fresh pita, good service, clean environment and tasty food. They seemed busy this time because of some kind of promo. My only gripe was, people were waiting to sit because all of the tables were still dirty. They were dirty when I walked in and continue throughout my duration. All in all...good Job! On a side note; the pita really makes this place special and unique. I hope hey continue to improve! I will give them my business now.",2,3,515,91
"Good coffee, nice wooden vibe, but whoa, the volume! The combination of deliveries, staff and a few early morning students was quite a jolt with which to start the day. Yeah, it's a noisy, busy part of town, always bustling - but this is a caffeine den, not a peaceful bolt hole - just to let you know. \n\nEnjoyed the free wi-fi, though my clothes smelt overwhelmingly of cooking for the rest of the day after just a morning coffee.\n\nGood for a strong coffee hit if you're in the area - you'll be lucky to get a seat, though, as it's really, really popular.",2,3,560,104
"This was my first encounter with any all-you-can-eat establishment, and my two outings here have been pretty good.  China China is in the Omni Centre, which also houses a Vue cinema, Wetherspoons, gym and others.  It thus offers plenty of choice for those visiting the centre who want to eat, and it seems to complement the other choices well.\n\nLet's be honest at the outset - not all of the food on offer is Chinese.  I'm sure I saw a curry or two, chicken nuggets, chips and waffles thrown into the mix as well.  The food is satisfying, if not amazingly tasty.  I guess this comes from having the food sat out for a while.  At my last visit, dessert was where the night really came together, and I consumed something like 12 pieces of cheesecake (an all-time favourite dessert for me).\n\nI would say that the prices are reasonable for the food that is on offer.  There is a small bar, but I find that it is best at these places to just get tap water, to add as little to the fixed price of the buffet as possible.  The interior is contemporary, if a little clinical, in style - but this won't  bother most diners, who will be focused on consuming quantities of food.  The few staff that I did see kept the food stocks high throughout the evening, but to be honest they played little role in creating the experience.\n\nWith China China, you get what you pay for - an all-you-can-eat buffet, and not much else.",2,3,1414,257
They have really good cheap sandwiches for lunch,3,4,48,8
At nails of the world they actually care about u as a person. They do great work & my polish never peals. They are Always friendly. I've been going there for a couple years now & I would recommend nails of the world to anyone of my friends & family.,4,5,249,50
"Review based on an overall experience.  I have stayed in a Tower Deluxe Room in the East Tower, a Suite in the East Tower, and a Pyramid Deluxe Room.\n\nLast year I was playing Blackjack for 4 hours at Luxor and since then I have been getting free rooms, basically at my disposal.  The perks of being a Gold Member with MLife.\n\nThe rooms at Luxor are average size sat around 450 sq. feet. They come with all the basic necessities: somewhat comfy bed, iron, safe, bath amenities, tv.  There is nothing great about these rooms, but at the same time there is nothing bad.  The bathrooms are bigger than the ones at The Mirage and have a separate tub/shower.  This is one thing that makes these rooms better.  But what MGM and The Mirage lack in the bathroom department, they make up for in swankiness.  Luxor's rooms are blah. The decor is old, the carpet is blue and the overall feeling you get when you walk in is.... When are they going to renovate?\n\nOh, and there is no W-Fi inside their rooms.  Ethernet cords are available. (Pssssst, wanna know a little secret?  There is Wi-Fi.... Only in select rooms in the West Tower. They are currently testing out their Wi-Fi)\n\nTheir pool area is pretty basic.  A couple of small pools and cabanas that are basically tarps protecting you from the sun. Please don't waste your money.  Nobody at the Luxor pool cares that you have a cabana.  The restaurant choices at Luxor are pretty slim. Their Mexican restaurant \""Tacos + Tequila\"" and Asian restaurant \""Rice & Company\"" is way overpriced.  There is a food court that has the usual places... Pizza, chicken fingers, burgers. Nothing special.  A few Starbucks are scattered within the property. \n\nThere are a few shows at Luxor, Jabbawockeez and Carrot Top. I wouldn't waste your time and money on Jabbawockeez.  I was a fan of theirs on America's Best Dance Crew, but apparently they are only entertaining performing in 3 minute segments on TV. Watching them for 1.5 hours was a little too much of the same thing over and over again.  Carrot Top on the other hand is hilarious.  I saw him years ago at MGM but I'm sure he's just as funny at Luxor.  I would definitely recommend Carrot Top to those who are familiar with pop culture though.\n\nOverall, I don't think I would go out of my way to stay at Luxor.  Having the room be free is a nice perk, but I would prefer to stay at Monte Carlo as it's more centrally located and the rooms are a little more updated and modern. \n\nIf you're able to get a good deal ($50 or under), don't mind walking to where all the action is, and are too drunk to care about what your room entails, then by all means, get your LUX on.",2,3,2670,480
"Just awful, the service is horrendous and I come here at least twice a week, well not any more .. If they are busy or not they don't acknowledge you, and they screw up the simplest order \""Everytime\"" I'm patient I have been in the service industry... Sometimes was they just put your food in their toaster and forget about you... Never again ... I'm finding an Einstein bagel..  This place sucks!",0,1,397,72
"I'm hooked on Pepper's bean and cheese burrito. Awesome flavor and portion for a great price. The same girl is working there every time I go in, and she's always so friendly. She knows me by name, and she has my order down. I have yet to try another dish (aside from the cheese fries, which are delicious!), but I'm sure it's just as fresh and scrumptious as their bean and cheese burrito.",4,5,389,73
Unfriendly and unhelpful service. Our shrimp was undercooked and noodle dish had no flavor.Will not be returning.,0,1,113,17
Came here about a month ago and the frozen yogurt was good but I won't be coming back. There was a foul smell upon entering the shop and a bunch of gnats flying around the fresh fruit they had for toppings. It was a shame because my prior experiences were good but this was very off putting. I'll probably wait a long time before going back or find somewhere else...,1,2,366,70
"Whatever you do, AVOID HERTZ AT ALL COST AT THIS AIRPORT.\nSince, 2011, I've probably flown into Phoenix 3 or 4 times.  Each and every time I had a reservation and my name wasn't on the Gold marquee when I arrived.  After waiting in line at the GOLD booth, I then had to WAIT for a car.  This rarely happens in any other city.  And, If this is the way they treat a preferred GOLD member, I can only imagine how other non-status customers are treated.  If this were an isolated incident in Phoenix, I could understand.  But, 3 or 4 times in a row is just simply poor management and incompetentence ... and they are not at all apologetic.  Just last week, I almost missed an hour of the meeting because I was waiting 45 minutes for a car.  Ridiculous.\n\nHere's the best part ... they sent me a survey and I have them horrible rankings.  The lowest score on the \""recommend\"" scale.  Do you think anyone bothered to contact me?  NOPE.  :)   Then, a week later, they had the nerve to send me an e-mail asking if I would like to post my comments on various social media sites.  Now that's some really incompetent target marketing if I've ever seen any.  \n\nEven though this is who I my company negotates rates with and is our preferred rental car providor, I'll have to choose a different providor at this airport.",0,1,1311,239
"Finally got a chance to try this place out.  I have heard mixed reviews and wanted to see for myself.  I was told the service was terrible and it was an accurate statement.  For our party of 9 we did get a table fairly quickly but that's where the speedy service stopped.  Although our server Kelton was awesome, seriously he was great, we loved him, it took FOREVER for our food to make it to our table.  It appeared it was definitely an issue with the kitchen.  Not only were we waiting a ridiculous amount of time for our food, once the food started trickling out, it took a while for the entire table to get their food.  I ordered the beets, they were cooked well and great flavor and I ordered the Mac and Cheese which was delicious.  My husband is a vegetarian and it was slim pickens for choices for someone who doesn't eat meat.  He ordered the veggie burger and surprise they were out of it so he ended up with the grilled cheese which was forgettable.  When it came time for dessert they were out of peaches for the peach crumble.  I'm going to assume they use extremely fresh ingredients to be out of so many things.  Overall we enjoyed it but very timely wait for food.  Again Kelton was great!!",2,3,1207,225
We stayed at Mandalay Bay for a long weekend and I ended up at Border Grill a couple times.  The 4 stars are really for the weekend brunch - all you can eat tapas that were interesting and (mostly) tasty.  I went back for the margaritas later which were also tasty though not particularly cheap.  You'd think the upstairs patio would be a good place to watch the beach concerts but the waiter said it was too dark to see the stage. Alas.,3,4,437,83
"Good vibe & lively on a Wednesday night - a hip Vintner Grill of sorts. Mrs. Wynn's ever-present glowing embers burn into the soul, as they celebrate the deadly sin of vanity. \n\nWorld renowned DJ Steve Angello (Swedish House Mafia) had put together a fantastic collection of old school rock mixed in with progressive house tunes. The mocktail was good - gingery & refreshing. Best to stick with the appetizers aka 'table shares,' which were truly delicious. The entrees (gulf shrimp, sea bass, salmon sushi, and crispy noodles) were a bit 'meh.' Cake pops were too sweet but fun to look at. The food took its time but at least the server had Channing Tatum's good looks.\n\nTip: if you get a table at Andrea's (Aan-dray-aaz), you can skip the line & entry charges for Surrender Nightclub.",2,3,790,136
